
  ============================================================
  Heat Equation - PCG
  Preconditioner: Identity
  Maximum Iterations: 10000
  Tolerance: 1.0e-10 (Relative)
  ============================================================
  Iter    Res[T]          Elapsed   
  17      4.4990e-11      1.235s
  18      1.2035e-11      1.241s
  19      4.1877e-12      1.247s
  20      1.6733e-12      1.253s
  [PCG] converged: 20 iterations, res[T] 1.6733e-12, avg 2.03e+05 flops/iter, 1.253s
  0       3.6279e-02      1.286s
  1       2.9912e-03      1.292s
  2       3.1844e-04      1.297s
  3       4.4565e-05      1.303s
  4       1.0530e-05      1.309s
  5       4.3420e-06      1.315s
  6       1.5928e-06      1.320s
  7       4.5580e-07      1.326s
  8       1.7716e-07      1.332s
  9       8.9877e-08      1.337s
  10      2.5181e-08      1.343s
  11      7.6781e-09      1.349s
  12      3.3022e-09      1.355s
  13      6.7682e-10      1.362s
  14      2.9153e-10      1.370s
  15      5.7966e-11      1.377s
  16      1.9317e-11      1.383s
  17      7.0241e-12      1.390s
  18      1.7038e-12      1.397s
  [PCG] converged: 18 iterations, res[T] 1.7038e-12, avg 2.49e+05 flops/iter, 1.397s
  0       3.2516e-02      1.434s
  1       2.0118e-03      1.440s
  2       1.4117e-04      1.446s
  3       1.5017e-05      1.453s
  4       3.9151e-06      1.459s
  5       1.2223e-06      1.464s
  6       2.8077e-07      1.470s
  7       9.3709e-08      1.476s
  8       4.2058e-08      1.482s
  9       1.1223e-08      1.488s
  10      3.2844e-09      1.494s
  11      1.5088e-09      1.500s
  12      3.7452e-10      1.506s
  13      1.1177e-10      1.511s
  14      3.2111e-11      1.517s
  15      9.4019e-12      1.523s
  16      2.2539e-12      1.529s
  [PCG] converged: 16 iterations, res[T] 2.2539e-12, avg 3.04e+05 flops/iter, 1.529s
  0       2.9346e-02      1.563s
  1       1.3499e-03      1.569s
  2       6.3206e-05      1.574s
  3       5.8833e-06      1.580s
  4       1.5058e-06      1.586s
  5       2.7733e-07      1.592s
  6       6.2067e-08      1.598s
  7       2.5914e-08      1.603s
  8       1.1744e-08      1.609s
  9       2.5237e-09      1.615s
  10      7.2198e-10      1.621s
  11      2.8586e-10      1.627s
  12      7.0058e-11      1.633s
  13      2.2552e-11      1.638s
  14      6.3380e-12      1.644s
  15      1.9693e-12      1.650s
  [PCG] converged: 15 iterations, res[T] 1.9693e-12, avg 3.48e+05 flops/iter, 1.650s
  0       2.6586e-02      1.683s
  1       9.0370e-04      1.689s
  2       2.8712e-05      1.695s
  3       2.6069e-06      1.701s
  4       5.1668e-07      1.707s
  5       6.5299e-08      1.713s
  6       1.8974e-08      1.718s
  7       1.2069e-08      1.724s
  8       2.4422e-09      1.730s
  9       6.7880e-10      1.736s
  10      2.3412e-10      1.742s
  11      7.2119e-11      1.748s
  12      1.9000e-11      1.753s
  13      5.7149e-12      1.759s
  14      1.7964e-12      1.765s
  [PCG] converged: 14 iterations, res[T] 1.7964e-12, avg 3.96e+05 flops/iter, 1.765s
  0       2.4136e-02      1.798s
  1       6.0404e-04      1.804s
  2       1.3280e-05      1.810s
  3       1.2241e-06      1.816s
  4       1.6175e-07      1.821s
  5       1.8258e-08      1.828s
  6       8.0111e-09      1.833s
  7       3.3173e-09      1.839s
  8       5.8045e-10      1.845s
  9       1.8802e-10      1.850s
  10      7.0602e-11      1.856s
  11      2.3139e-11      1.862s
  12      6.1790e-12      1.868s
  13      1.5425e-12      1.874s
  [PCG] converged: 13 iterations, res[T] 1.5425e-12, avg 4.51e+05 flops/iter, 1.874s
  0       2.1936e-02      1.908s
  1       4.0336e-04      1.913s
  2       6.2681e-06      1.919s
  3       5.8227e-07      1.925s
  4       4.9253e-08      1.931s
  5       6.4985e-09      1.937s
  6       4.9532e-09      1.943s
  7       7.4655e-10      1.949s
  8       3.4813e-10      1.955s
  9       5.2543e-11      1.961s
  10      2.1346e-11      1.966s
  11      6.6915e-12      1.972s
  12      1.9257e-12      1.978s
  [PCG] converged: 12 iterations, res[T] 1.9257e-12, avg 5.12e+05 flops/iter, 1.978s
  0       1.9949e-02      2.012s
  1       2.6920e-04      2.018s
  2       3.0206e-06      2.024s
  3       2.7482e-07      2.029s
  4       1.5258e-08      2.035s
  5       4.4550e-09      2.041s
  6       1.4874e-09      2.047s
  7       4.2182e-10      2.053s
  8       9.7689e-11      2.059s
  9       3.9759e-11      2.064s
  10      8.0866e-12      2.070s
  11      3.2627e-12      2.076s
  12      9.5014e-13      2.082s
  [PCG] converged: 12 iterations, res[T] 9.5014e-13, avg 5.36e+05 flops/iter, 2.082s
  0       1.8147e-02      2.116s
  1       1.7961e-04      2.121s
  2       1.4845e-06      2.127s
  3       1.2772e-07      2.133s
  4       4.8994e-09      2.138s
  5       2.1634e-09      2.144s
  6       4.8396e-10      2.150s
  7       2.7225e-10      2.156s
  8       3.2305e-11      2.161s
  9       1.0865e-11      2.167s
  10      3.2815e-12      2.173s
  11      9.3809e-13      2.179s
  [PCG] converged: 11 iterations, res[T] 9.3809e-13, avg 6.08e+05 flops/iter, 2.179s
  0       1.6512e-02      2.212s
  1       1.1981e-04      2.218s
  2       7.4221e-07      2.224s
  3       5.8362e-08      2.229s
  4       1.7952e-09      2.235s
  5       1.4059e-09      2.241s
  6       1.7570e-10      2.247s
  7       1.1233e-10      2.253s
  8       2.3957e-11      2.259s
  9       3.2146e-12      2.264s
  10      1.2597e-12      2.270s
  [PCG] converged: 10 iterations, res[T] 1.2597e-12, avg 6.93e+05 flops/iter, 2.270s
  0       1.5025e-02      2.304s
  1       7.9919e-05      2.309s
  2       3.7635e-07      2.315s
  3       2.6261e-08      2.321s
  4       1.1844e-09      2.326s
  5       4.5419e-10      2.332s
  6       1.3999e-10      2.338s
  7       3.4839e-11      2.343s
  8       1.9240e-11      2.349s
  9       2.9667e-12      2.355s
  10      4.8822e-13      2.360s
  [PCG] converged: 10 iterations, res[T] 4.8822e-13, avg 7.16e+05 flops/iter, 2.360s
  0       1.3673e-02      2.393s
  1       5.3307e-05      2.399s
  2       1.9292e-07      2.405s
  3       1.1666e-08      2.410s
  4       2.8078e-10      2.416s
  5       1.7093e-10      2.421s
  6       3.4390e-11      2.427s
  7       1.0418e-11      2.433s
  8       4.8591e-12      2.438s
  9       1.4282e-12      2.444s
  10      3.5039e-13      2.449s
  [PCG] converged: 10 iterations, res[T] 3.5039e-13, avg 7.40e+05 flops/iter, 2.449s
  0       1.2443e-02      2.482s
  1       3.5555e-05      2.488s
  2       9.9692e-08      2.494s
  3       5.1320e-09      2.499s
  4       3.5208e-10      2.505s
  5       5.7352e-11      2.510s
  6       3.7835e-11      2.516s
  7       7.0614e-12      2.522s
  8       1.9626e-12      2.527s
  9       9.1723e-13      2.533s
  [PCG] converged: 9 iterations, res[T] 9.1723e-13, avg 8.46e+05 flops/iter, 2.533s
  0       1.1323e-02      2.565s
  1       2.3715e-05      2.571s
  2       5.1816e-08      2.577s
  3       2.2500e-09      2.582s
  4       8.3585e-10      2.588s
  5       4.5474e-11      2.593s
  6       1.6757e-11      2.599s
  7       9.8985e-12      2.604s
  8       2.5791e-12      2.610s
  9       5.6642e-13      2.616s
  [PCG] converged: 9 iterations, res[T] 5.6642e-13, avg 8.70e+05 flops/iter, 2.616s
  0       1.0305e-02      2.648s
  1       1.5817e-05      2.653s
  2       2.7041e-08      2.659s
  3       9.8040e-10      2.665s
  4       4.6142e-10      2.670s
  5       2.7518e-11      2.676s
  6       6.7153e-12      2.681s
  7       4.2409e-12      2.687s
  8       1.2749e-12      2.692s
  9       3.8027e-13      2.698s
  [PCG] converged: 9 iterations, res[T] 3.8027e-13, avg 8.94e+05 flops/iter, 2.698s
  0       9.3777e-03      2.730s
  1       1.0550e-05      2.736s
  2       1.4151e-08      2.742s
  3       4.3104e-10      2.747s
  4       3.1692e-10      2.753s
  5       1.9209e-11      2.758s
  6       3.3477e-12      2.764s
  7       1.6191e-12      2.770s
  8       7.2988e-13      2.775s
  [PCG] converged: 8 iterations, res[T] 7.2988e-13, avg 1.03e+06 flops/iter, 2.775s
  0       8.5341e-03      2.808s
  1       7.0366e-06      2.814s
  2       7.4201e-09      2.819s
  3       2.3839e-10      2.825s
  4       1.8137e-10      2.830s
  5       2.8588e-11      2.836s
  6       4.7335e-12      2.842s
  7       1.1827e-12      2.847s
  8       3.7004e-13      2.853s
  [PCG] converged: 8 iterations, res[T] 3.7004e-13, avg 1.05e+06 flops/iter, 2.853s
  0       7.7665e-03      2.885s
  1       4.6933e-06      2.891s
  2       3.8956e-09      2.896s
  3       9.4873e-11      2.902s
  4       8.0140e-11      2.907s
  5       1.1193e-11      2.913s
  6       1.7428e-12      2.918s
  7       3.0891e-13      2.924s
  [PCG] converged: 7 iterations, res[T] 3.0891e-13, avg 1.23e+06 flops/iter, 2.924s
  0       7.0679e-03      2.957s
  1       3.1303e-06      2.963s
  2       2.0471e-09      2.969s
  3       8.2387e-11      2.974s
  4       2.9285e-11      2.980s
  5       1.2128e-11      2.985s
  6       1.6844e-12      2.991s
  7       3.1529e-13      2.996s
  [PCG] converged: 7 iterations, res[T] 3.1529e-13, avg 1.25e+06 flops/iter, 2.996s
  0       6.4322e-03      3.030s
  1       2.0879e-06      3.035s
  2       1.0763e-09      3.041s
  3       7.0603e-11      3.046s
  4       1.3098e-11      3.052s
  5       9.7809e-12      3.058s
  6       2.4710e-12      3.063s
  7       5.3124e-13      3.069s
  [PCG] converged: 7 iterations, res[T] 5.3124e-13, avg 1.27e+06 flops/iter, 3.069s
  0       5.8536e-03      3.101s
  1       1.3926e-06      3.107s
  2       5.6670e-10      3.112s
  3       1.3737e-10      3.118s
  4       1.0075e-11      3.123s
  5       4.5184e-12      3.129s
  6       2.6231e-12      3.134s
  7       9.4302e-13      3.140s
  8       1.4198e-13      3.145s
  [PCG] converged: 8 iterations, res[T] 1.4198e-13, avg 1.14e+06 flops/iter, 3.145s
  0       5.3271e-03      3.178s
  1       9.2883e-07      3.183s
  2       2.9788e-10      3.189s
  3       2.5018e-11      3.194s
  4       3.6113e-12      3.200s
  5       1.9243e-12      3.205s
  6       8.9176e-13      3.211s
  7       2.1064e-13      3.217s
  [PCG] converged: 7 iterations, res[T] 2.1064e-13, avg 1.33e+06 flops/iter, 3.217s
  0       4.8480e-03      3.249s
  1       6.1951e-07      3.255s
  2       1.5689e-10      3.260s
  3       3.6710e-11      3.266s
  4       3.6018e-12      3.271s
  5       1.0349e-12      3.277s
  6       5.5881e-13      3.283s
  7       3.2804e-13      3.288s
  [PCG] converged: 7 iterations, res[T] 3.2804e-13, avg 1.35e+06 flops/iter, 3.288s
  0       4.4119e-03      3.320s
  1       4.1321e-07      3.326s
  2       8.3672e-11      3.331s
  3       6.2906e-11      3.337s
  4       5.5122e-12      3.343s
  5       9.8299e-13      3.348s
  6       3.5409e-13      3.354s
  [PCG] converged: 6 iterations, res[T] 3.5409e-13, avg 1.60e+06 flops/iter, 3.354s
  0       4.0151e-03      3.386s
  1       2.7560e-07      3.392s
  2       4.6275e-11      3.398s
  3       4.8571e-11      3.403s
  4       5.1159e-12      3.409s
  5       6.2318e-13      3.414s
  6       1.4455e-13      3.420s
  [PCG] converged: 6 iterations, res[T] 1.4455e-13, avg 1.62e+06 flops/iter, 3.420s
  0       3.6539e-03      3.453s
  1       1.8382e-07      3.458s
  2       2.3244e-11      3.464s
  3       1.8652e-11      3.470s
  4       1.6409e-12      3.475s
  5       3.3809e-13      3.481s
  [PCG] converged: 5 iterations, res[T] 3.3809e-13, avg 1.97e+06 flops/iter, 3.481s
  0       3.3253e-03      3.513s
  1       1.2261e-07      3.519s
  2       1.7460e-11      3.525s
  3       1.2353e-11      3.530s
  4       4.7461e-12      3.536s
  5       1.1661e-12      3.541s
  6       2.6466e-13      3.547s
  [PCG] converged: 6 iterations, res[T] 2.6466e-13, avg 1.66e+06 flops/iter, 3.547s
  0       3.0262e-03      3.579s
  1       8.1776e-08      3.585s
  2       1.3222e-11      3.590s
  3       5.9669e-12      3.596s
  4       4.3333e-12      3.603s
  5       6.1794e-13      3.608s
  6       1.3390e-13      3.614s
  [PCG] converged: 6 iterations, res[T] 1.3390e-13, avg 1.69e+06 flops/iter, 3.614s
  0       2.7540e-03      3.646s
  1       5.4543e-08      3.652s
  2       5.2898e-12      3.659s
  3       3.3526e-12      3.664s
  4       1.7057e-12      3.670s
  5       4.6183e-13      3.675s
  6       1.0759e-13      3.681s
  [PCG] converged: 6 iterations, res[T] 1.0759e-13, avg 1.71e+06 flops/iter, 3.681s
  0       2.5063e-03      3.713s
  1       3.6380e-08      3.719s
  2       5.1538e-12      3.724s
  3       1.6275e-12      3.729s
  4       1.3866e-12      3.735s
  5       2.6901e-13      3.741s
  6       4.7391e-14      3.746s
  [PCG] converged: 6 iterations, res[T] 4.7391e-14, avg 1.74e+06 flops/iter, 3.746s
  0       2.2808e-03      3.779s
  1       2.4265e-08      3.784s
  2       1.5156e-12      3.790s
  3       9.3327e-13      3.795s
  4       5.4304e-13      3.801s
  5       1.5663e-13      3.807s
  [PCG] converged: 5 iterations, res[T] 1.5663e-13, avg 2.11e+06 flops/iter, 3.807s
  0       2.0757e-03      3.839s
  1       1.6184e-08      3.845s
  2       5.7149e-12      3.850s
  3       8.8562e-13      3.856s
  4       4.0640e-13      3.861s
  5       2.7098e-13      3.867s
  6       1.2689e-13      3.872s
  [PCG] converged: 6 iterations, res[T] 1.2689e-13, avg 1.78e+06 flops/iter, 3.873s
  0       1.8890e-03      3.905s
  1       1.0795e-08      3.910s
  2       5.3334e-12      3.916s
  3       6.4666e-13      3.922s
  4       2.0738e-13      3.927s
  5       1.6403e-13      3.933s
  [PCG] converged: 5 iterations, res[T] 1.6403e-13, avg 2.16e+06 flops/iter, 3.933s
  0       1.7191e-03      3.966s
  1       7.1998e-09      3.971s
  2       7.5942e-12      3.977s
  3       5.8633e-13      3.982s
  4       1.8436e-13      3.988s
  5       8.3305e-14      3.993s
