
  ============================================================
  Heat Equation - PCG
  Preconditioner: Identity
  Maximum Iterations: 10000
  Tolerance: 1.0e-10 (Relative)
  ============================================================
  Iter    Res[T]          Elapsed   
  3       1.2285e-14      5.572s
  4       4.0814e-15      5.578s
  [PCG] converged: 4 iterations, res[T] 4.0814e-15, avg 3.42e+06 flops/iter, 5.578s
  0       1.1174e-04      5.611s
  1       6.2716e-14      5.618s
  2       7.3696e-14      5.623s
  3       1.5776e-14      5.629s
  4       5.8160e-15      5.635s
  [PCG] converged: 4 iterations, res[T] 5.8160e-15, avg 3.45e+06 flops/iter, 5.635s
  0       1.0169e-04      5.668s
  1       5.1757e-14      5.674s
  2       4.2543e-14      5.679s
  3       2.0199e-14      5.685s
  4       8.0739e-15      5.691s
  [PCG] converged: 4 iterations, res[T] 8.0739e-15, avg 3.47e+06 flops/iter, 5.691s
  0       9.2547e-05      5.725s
  1       5.4650e-14      5.731s
  2       2.7396e-14      5.736s
  3       1.8928e-14      5.742s
  4       1.0007e-14      5.748s
  5       1.4090e-15      5.753s
  [PCG] converged: 5 iterations, res[T] 1.4090e-15, avg 2.80e+06 flops/iter, 5.753s
  0       8.4222e-05      5.786s
  1       2.0361e-14      5.792s
  2       1.9345e-14      5.797s
  3       6.7742e-15      5.803s
  [PCG] converged: 3 iterations, res[T] 6.7742e-15, avg 4.69e+06 flops/iter, 5.803s
  0       7.6647e-05      5.836s
  1       4.5265e-14      5.841s
  2       1.3181e-14      5.847s
  3       1.0026e-14      5.853s
  4       5.6246e-15      5.859s
  [PCG] converged: 4 iterations, res[T] 5.6246e-15, avg 3.54e+06 flops/iter, 5.859s
  0       6.9753e-05      5.891s
  1       3.4088e-14      5.897s
  2       1.0429e-14      5.903s
  3       6.2924e-15      5.908s
  [PCG] converged: 3 iterations, res[T] 6.2924e-15, avg 4.74e+06 flops/iter, 5.908s
  0       6.3479e-05      5.941s
  1       3.7231e-14      5.947s
  2       7.5915e-15      5.952s
  3       3.9153e-15      5.958s
  [PCG] converged: 3 iterations, res[T] 3.9153e-15, avg 4.77e+06 flops/iter, 5.958s
  0       5.7769e-05      5.991s
  1       2.1487e-14      5.997s
  2       3.8231e-15      6.002s
  [PCG] converged: 2 iterations, res[T] 3.8231e-15, avg 7.18e+06 flops/iter, 6.002s
  0       5.2573e-05      6.035s
  1       2.5932e-14      6.041s
  2       3.8026e-15      6.047s
  [PCG] converged: 2 iterations, res[T] 3.8026e-15, avg 7.20e+06 flops/iter, 6.047s
  0       4.7844e-05      6.079s
  1       2.5940e-14      6.085s
  2       4.9327e-15      6.091s
  3       1.1394e-15      6.096s
  [PCG] converged: 3 iterations, res[T] 1.1394e-15, avg 4.82e+06 flops/iter, 6.096s
  0       4.3541e-05      6.130s
  1       7.1312e-15      6.136s
  2       1.2517e-15      6.141s
  [PCG] converged: 2 iterations, res[T] 1.2517e-15, avg 7.26e+06 flops/iter, 6.141s
  0       3.9624e-05      6.174s
  1       9.2790e-15      6.180s
  2       1.5842e-15      6.186s
  [PCG] converged: 2 iterations, res[T] 1.5842e-15, avg 7.28e+06 flops/iter, 6.186s
  0       3.6060e-05      6.218s
  1       1.0541e-14      6.224s
  2       2.3523e-15      6.230s
  [PCG] converged: 2 iterations, res[T] 2.3523e-15, avg 7.31e+06 flops/iter, 6.230s
  0       3.2817e-05      6.262s
  1       1.5987e-14      6.267s
  2       3.2740e-15      6.273s
  [PCG] converged: 2 iterations, res[T] 3.2740e-15, avg 7.33e+06 flops/iter, 6.273s
  0       2.9865e-05      6.305s
  1       2.0347e-14      6.310s
  2       4.8497e-15      6.316s
  3       9.1207e-16      6.321s
  [PCG] converged: 3 iterations, res[T] 9.1207e-16, avg 4.91e+06 flops/iter, 6.321s
  0       2.7179e-05      6.353s
  1       6.6243e-15      6.359s
  2       1.1303e-15      6.364s
  [PCG] converged: 2 iterations, res[T] 1.1303e-15, avg 7.39e+06 flops/iter, 6.364s
  0       2.4734e-05      6.396s
  1       8.9951e-15      6.402s
  2       1.5816e-15      6.407s
  [PCG] converged: 2 iterations, res[T] 1.5816e-15, avg 7.41e+06 flops/iter, 6.407s
  0       2.2509e-05      6.439s
  1       1.1258e-14      6.445s
  2       2.2446e-15      6.450s
  [PCG] converged: 2 iterations, res[T] 2.2446e-15, avg 7.44e+06 flops/iter, 6.450s
  0       2.0485e-05      6.482s
  1       1.5957e-14      6.488s
  2       3.0777e-15      6.493s
  3       6.6288e-16      6.499s
  [PCG] converged: 3 iterations, res[T] 6.6288e-16, avg 4.98e+06 flops/iter, 6.499s
  0       1.8642e-05      6.531s
  1       5.6956e-15      6.536s
  2       9.4988e-16      6.542s
  [PCG] converged: 2 iterations, res[T] 9.4988e-16, avg 7.50e+06 flops/iter, 6.542s
  0       1.6965e-05      6.574s
  1       7.5251e-15      6.579s
  2       1.3471e-15      6.585s
  [PCG] converged: 2 iterations, res[T] 1.3471e-15, avg 7.52e+06 flops/iter, 6.585s
  0       1.5439e-05      6.617s
  1       1.0027e-14      6.623s
  2       1.9213e-15      6.628s
  3       4.8895e-16      6.634s
  [PCG] converged: 3 iterations, res[T] 4.8895e-16, avg 5.04e+06 flops/iter, 6.634s
  0       1.4051e-05      6.665s
  1       5.2477e-15      6.671s
  2       8.5367e-16      6.676s
  [PCG] converged: 2 iterations, res[T] 8.5367e-16, avg 7.58e+06 flops/iter, 6.676s
  0       1.2787e-05      6.708s
  1       7.0113e-15      6.714s
  2       1.2849e-15      6.719s
  3       3.0660e-16      6.725s
  [PCG] converged: 3 iterations, res[T] 3.0660e-16, avg 5.08e+06 flops/iter, 6.725s
  0       1.1637e-05      6.757s
  1       4.6948e-15      6.762s
  2       7.5404e-16      6.768s
  [PCG] converged: 2 iterations, res[T] 7.5404e-16, avg 7.64e+06 flops/iter, 6.768s
  0       1.0590e-05      6.800s
  1       6.4099e-15      6.805s
  2       1.1962e-15      6.811s
  3       3.0373e-16      6.816s
  [PCG] converged: 3 iterations, res[T] 3.0373e-16, avg 5.12e+06 flops/iter, 6.816s
  0       9.6374e-06      6.848s
  1       5.2288e-15      6.854s
  2       8.0239e-16      6.859s
  [PCG] converged: 2 iterations, res[T] 8.0239e-16, avg 7.70e+06 flops/iter, 6.860s
  0       8.7706e-06      6.891s
  1       7.0961e-15      6.897s
  2       1.2851e-15      6.902s
  3       3.5655e-16      6.908s
  [PCG] converged: 3 iterations, res[T] 3.5655e-16, avg 5.16e+06 flops/iter, 6.908s
  0       7.9817e-06      6.940s
  1       4.9600e-15      6.946s
  2       7.2908e-16      6.951s
  [PCG] converged: 2 iterations, res[T] 7.2908e-16, avg 7.76e+06 flops/iter, 6.951s
  0       7.2638e-06      6.983s
  1       6.8234e-15      6.989s
  2       1.1778e-15      6.994s
  3       3.0005e-16      7.000s
  [PCG] converged: 3 iterations, res[T] 3.0005e-16, avg 5.20e+06 flops/iter, 7.000s
  0       6.6104e-06      7.031s
  1       4.8874e-15      7.037s
  2       6.8094e-16      7.043s
  3       2.0062e-16      7.048s
  [PCG] converged: 3 iterations, res[T] 2.0062e-16, avg 5.22e+06 flops/iter, 7.048s
  0       6.0158e-06      7.080s
  1       5.0219e-15      7.086s
  2       7.6939e-16      7.091s
  3       2.1273e-16      7.097s
  [PCG] converged: 3 iterations, res[T] 2.1273e-16, avg 5.24e+06 flops/iter, 7.097s
